ID,Label,Age,Income,Job Type,Tax Classification
1,Unknown,39.0,512000.0,Chief Officier,Low
2,Advisory,24.0,295000.0,VP,High
3,Unknown,36.0,445000.0,Chief Officier,High
4,Unknown,50.0,564999.9999999999,Chief Officier,Medium
5,Unknown,19.0,327000.0,Owner,Low
6,Unknown,22.0,277000.00000000006,Chief Officier,Medium
7,Unknown,39.0,471000.0,VP,Low
8,Unknown,63.0,758000.0,Owner,Medium
9,Unknown,22.0,335000.0,Owner,High
10,Unknown,35.0,352000.0,VP,Low
11,Unknown,33.0,464000.0,Chief Officier,Medium
12,Advisory,45.0,541000.0000000001,Chief Officier,Medium
13,Unknown,33.0,468000.0,Chief Officier,Medium
14,Unknown,25.0,300000.0,Chief Officier,Low
15,Unknown,31.0,464000.0,Owner,Mediud
16,Unknown,,,VP,High
17,Unknown,64.0,713000.0,VP,Medium
18,Unknown,61.0,724000.0,Owner,Medium
19,Unknown,31.0,489000.0,Chief Officier,Medium
20,Unknown,43.0,480000.0,Chief Officier,Lod
21,Unknown,21.0,372000.0,Owner,High
22,Advisory,55.00000000000001,646000.0,Owner,Low
23,Unknown,41.0,588000.0,Chief Officier,High
24,Unknown,64.0,727000.0,Owner,Low
25,Unknown,56.00000000000001,666000.0,VP,Low
26,Unknown,31.0,360000.0,Chief Officier,Low
27,Unknown,65.0,701000.0,VP,Lod
28,Unknown,55.00000000000001,643000.0,Owner,Low
29,Unknown,25.0,403000.0,Owner,High
30,Unknown,46.0,510000.0,Chief Officier,Low
31,Unknown,,,Owner,High
32,Advisory,52.0,580999.9999999999,Chief Officier,Medium
33,Unknown,62.0,668000.0,VP,High
34,Unknown,55.00000000000001,627000.0,Owner,Low
35,Unknown,21.0,356000.0,Owner,Low
36,Unknown,44.0,520000.0,Chief Officier,Medium
37,Unknown,67.0,758000.0,VP,Low
38,Unknown,29.0,343000.0,VP,Higd
39,Unknown,44.0,548000.0000000001,Chief Officier,High
40,Unknown,46.0,523000.0,Chief Officier,Medium
41,Unknown,38.0,535000.0,Chief Officier,Higd
42,Advisory,50.0,586000.0,Chief Officier,Medium
43,Unknown,33.0,393000.0,Chief Officier,Medium
44,Unknown,26.0,404000.0,Owner,Medium
45,Unknown,46.0,644000.0,Owner,High
46,Unknown,,,Owner,High
47,Unknown,50.0,648000.0,Chief Officier,High
48,Unknown,47.0,520000.0,Chief Officier,Low
49,Unknown,40.0,504000.0,Chief Officier,Low
50,Unknown,42.0,484000.0,Chief Officier,Medium
51,Unknown,47.0,587000.0,VP,High
52,Advisory,45.0,528000.0,Chief Officier,Medium
53,Unknown,25.0,409000.0,Owner,Low
54,Unknown,38.0,484000.0,Owner,High
55,Unknown,44.0,606000.0,Chief Officier,High
56,Unknown,33.0,410000.0,Chief Officier,High
57,Unknown,,,Owner,Low
58,Unknown,42.0,503000.0,Chief Officier,Medium
59,Unknown,55.00000000000001,635000.0,VP,Medium
60,Unknown,44.0,478000.0,VP,High
61,Unknown,18.0,398000.0,Owner,High
62,Advisory,56.99999999999999,657000.0,Owner,Low
63,Unknown,46.0,526000.0,Chief Officier,Medium
64,Unknown,68.0,3920000.0,Owner,Medium
65,Unknown,60.0,717000.0,VP,High
66,Unknown,57.99999999999999,654000.0,Vr,Medium
67,Unknown,,,VP,Medium
68,Unknown,48.0,558000.0000000001,Chief Officier,High
69,Unknown,,,Chief Officier,Medium
70,Unknown,,,Chief Officier,Low
71,Unknown,32.0,2135000.0,Chief Officier,High
72,Advisory,48.0,569999.9999999999,Chief Officier,High
73,Unknown,66.0,750000.0,VP,Low
74,Unknown,61.0,700000.0,Owner,High
75,Unknown,57.99999999999999,689000.0,Chief Officier,Low
76,Unknown,19.0,240000.0,VP,High
77,Unknown,42.0,489000.0,Chief Officier,High
78,Unknown,43.0,480000.0,Chief Officier,Low
79,Unknown,,,Chief Officier,High
80,Unknown,42.0,480000.0,Chief Officier,High
81,Unknown,27.0,348000.0,Owner,Low
82,Advisory,29.0,371000.0,Owner,Medium
83,Unknown,,,Chief Officier,High
84,Unknown,48.0,566999.9999999999,Chief Officier,High
85,Unknown,44.0,552000.0000000001,Owner,High
86,Unknown,23.0,263000.0,VP,Medium
87,Unknown,36.0,530000.0,VP,Medium
